asdf_id,oco2_xco2_yearly.2015.mean,oco2_xco2_yearly.2015.max,oco2_xco2_yearly.2015.min,oco2_xco2_yearly.2017.mean,oco2_xco2_yearly.2017.max,oco2_xco2_yearly.2017.min,oco2_xco2_yearly.2018.mean,oco2_xco2_yearly.2018.max,oco2_xco2_yearly.2018.min,oco2_xco2_yearly.2016.mean,oco2_xco2_yearly.2016.max,oco2_xco2_yearly.2016.min,adm,gbid,Level,adm_int,feature_id,iso,gqid
70,399.344194697,399.620855704,399.117296007,405.133442512,405.584379578,404.283886719,407.098786968,407.316723163,406.993365538,404.205933441,405.11699295,403.656583023,ADM2,BDI_ADM2_1_3_3_70,ADM2,2,70,BDI,70
71,400.162816169,400.633783977,399.380371896,402.776216681,403.22139757,402.547402276,405.759298098,405.966702511,405.574806244,401.684543518,402.113670103,401.4894104,ADM2,BDI_ADM2_1_3_3_71,ADM2,2,71,BDI,71
72,398.258431219,399.283139315,397.908416748,403.357982672,404.513920711,402.866903178,406.275924163,408.580535889,405.861102295,401.695356066,403.649002075,401.426414721,ADM2,BDI_ADM2_1_3_3_72,ADM2,2,72,BDI,72
73,399.257872148,400.086418152,397.908416748,402.893375168,403.655067444,402.530436453,405.960042283,406.43752238,405.851470947,402.968184782,403.649002075,401.426414721,ADM2,BDI_ADM2_1_3_3_73,ADM2,2,73,BDI,73
74,399.040897889,399.390712805,397.908416748,404.348709691,405.14651413,402.930053711,406.669992102,407.316723163,405.870733643,402.825202412,405.11699295,401.426414721,ADM2,BDI_ADM2_1_3_3_74,ADM2,2,74,BDI,74
75,399.377052901,399.68895172,398.71280365,406.319485325,406.562252469,406.117692948,406.81549502,406.927162206,406.733658233,404.060794481,404.230987356,403.677383423,ADM2,BDI_ADM2_1_3_3_75,ADM2,2,75,BDI,75
76,399.569936969,400.286865502,399.204644775,403.004197031,403.330001652,402.46728592,405.957758766,406.43752238,405.78408309,401.767011053,403.649002075,401.517771403,ADM2,BDI_ADM2_1_3_3_76,ADM2,2,76,BDI,76
77,398.757145551,399.473208769,398.641374424,406.300645901,406.562252469,406.167458794,406.717089009,406.797308553,406.60380458,404.186755882,404.230987356,404.156161996,ADM2,BDI_ADM2_1_3_3_77,ADM2,2,77,BDI,77
78,399.563371622,399.68895172,399.371064745,405.797399084,406.124186198,404.721752167,406.963266317,407.186869511,406.863511885,403.832988604,404.698465347,403.074829102,ADM2,BDI_ADM2_1_3_3_78,ADM2,2,78,BDI,78
79,400.056968572,400.313253046,399.769302222,403.498813522,403.934550646,403.076329888,406.099444887,406.721646331,405.435288347,402.305188575,402.48056694,402.101280556,ADM2,BDI_ADM2_1_3_3_79,ADM2,2,79,BDI,79
80,398.785689749,399.036246199,398.569945199,406.168068165,406.436473045,405.719059402,406.552745988,406.667454901,406.337749774,404.170260328,404.334211266,404.081336637,ADM2,BDI_ADM2_1_3_3_80,ADM2,2,80,BDI,80
81,399.55595798,399.870646663,399.334544014,404.693756313,405.350513459,403.859124756,407.176956855,407.316723163,406.79880247,404.163521224,405.11699295,402.47227478,ADM2,BDI_ADM2_1_3_3_81,ADM2,2,81,BDI,81
82,399.831529917,400.481330665,399.458410968,402.975379976,403.582377894,402.677451579,405.990647812,406.393896768,405.574806244,401.857682472,402.374212647,401.4894104,ADM2,BDI_ADM2_1_3_3_82,ADM2,2,82,BDI,82
83,399.324852788,399.762420654,399.087042236,404.222070326,404.708648682,403.656636556,406.99774213,407.316723163,405.329351807,404.207470255,405.11699295,402.795824323,ADM2,BDI_ADM2_1_3_3_83,ADM2,2,83,BDI,83
84,399.776364146,399.904694671,399.620855704,405.037995064,405.357006709,404.583333969,406.909704303,407.186869511,406.706591931,403.025967155,404.095911026,402.47227478,ADM2,BDI_ADM2_1_3_3_84,ADM2,2,84,BDI,84
85,398.991879879,399.762420654,398.283081054,403.802529247,404.408771515,402.930053711,406.627960777,408.580535889,405.329351807,402.537830895,405.11699295,401.676269531,ADM2,BDI_ADM2_1_3_3_85,ADM2,2,85,BDI,85
86,399.459240633,399.488492946,399.380371896,403.40605965,403.729949592,403.077068838,406.018598006,406.081934075,405.947933398,401.860194808,402.374212647,401.517771403,ADM2,BDI_ADM2_1_3_3_86,ADM2,2,86,BDI,86
87,399.457355541,399.904694671,398.784232875,405.582901811,406.124186198,405.350513459,406.77428507,407.057015858,406.614381392,403.579324419,404.15896155,403.074829102,ADM2,BDI_ADM2_1_3_3_87,ADM2,2,87,BDI,87
88,399.013941114,399.77903278,398.433794524,403.821513535,404.572612628,403.330001652,407.093695439,408.580535889,405.329351807,402.312904812,402.824309129,401.769782173,ADM2,BDI_ADM2_1_3_3_88,ADM2,2,88,BDI,88
89,399.337104453,399.503533935,398.433794524,403.63566756,404.425040929,403.182429953,406.287360528,408.580535889,405.966702511,401.810887675,402.143171481,401.128468832,ADM2,BDI_ADM2_1_3_3_89,ADM2,2,89,BDI,89
90,399.642433422,400.120437622,399.334544014,404.251814614,404.721752167,403.859124756,406.807759242,407.186869511,406.370149612,402.973935127,404.095911026,402.47227478,ADM2,BDI_ADM2_1_3_3_90,ADM2,2,90,BDI,90
91,399.529890832,399.963767385,399.20713467,403.280976284,403.704879422,403.076329888,406.424585195,406.721646331,406.167750159,402.34329908,402.73315814,402.101280556,ADM2,BDI_ADM2_1_3_3_91,ADM2,2,91,BDI,91
92,398.939705095,399.128624136,398.71280365,405.914450602,406.239632501,405.594392565,406.487946944,406.797308553,406.337749774,404.114651321,404.182036967,404.058261219,ADM2,BDI_ADM2_1_3_3_92,ADM2,2,92,BDI,92
93,399.574774652,399.77903278,398.94644928,404.142866805,404.720184326,403.656636556,405.898628498,407.023573812,405.329351807,402.676638725,403.493356704,401.869720459,ADM2,BDI_ADM2_1_3_3_93,ADM2,2,93,BDI,93
94,398.951624885,399.68895172,398.71280365,405.832283429,406.239632501,405.478946262,406.550641981,406.927162206,406.379776637,404.113110509,404.182036967,403.936113582,ADM2,BDI_ADM2_1_3_3_94,ADM2,2,94,BDI,94
95,399.946777888,400.120437622,398.855662101,404.639922618,405.36349996,404.583333969,406.544723835,406.79880247,406.370149612,402.57591493,403.59228942,402.47227478,ADM2,BDI_ADM2_1_3_3_95,ADM2,2,95,BDI,95
96,399.444597959,400.120437622,398.855662101,405.231649464,405.36349996,404.583333969,406.529321991,406.79880247,406.370149612,403.275973693,403.59228942,402.47227478,ADM2,BDI_ADM2_1_3_3_96,ADM2,2,96,BDI,96
97,399.123625587,399.77903278,398.94644928,404.284368365,404.572612628,403.87752129,406.258108005,407.023573812,406.037494913,401.597648774,402.753234863,401.128468832,ADM2,BDI_ADM2_1_3_3_97,ADM2,2,97,BDI,97
98,399.404909279,399.769302222,399.11104838,403.403468862,403.982325834,402.950767772,406.135134126,406.393896768,405.947933398,402.262276786,402.534499105,401.53235098,ADM2,BDI_ADM2_1_3_3_98,ADM2,2,98,BDI,98
99,399.213976033,399.488492946,399.01496209,403.904562934,404.277469231,403.434806195,406.136775199,406.29362809,406.044395848,402.266628003,402.380577088,401.267814304,ADM2,BDI_ADM2_1_3_3_99,ADM2,2,99,BDI,99
100,399.381008948,400.120437622,398.788118998,404.115759769,404.720184326,403.744830322,406.426721902,407.10578537,406.023044162,402.229202808,403.493356704,401.828399658,ADM2,BDI_ADM2_1_3_3_100,ADM2,2,100,BDI,100
101,398.947475532,399.904694671,398.784232875,405.483320384,405.80156623,405.156326294,406.497510774,407.115412394,406.374963124,404.061648948,404.15896155,403.233542274,ADM2,BDI_ADM2_1_3_3_101,ADM2,2,101,BDI,101
102,399.054558092,399.128624136,398.89477834,405.493653819,405.988073652,405.001645758,406.402317014,407.134666443,406.245539235,404.0427078,404.130287025,403.957560889,ADM2,BDI_ADM2_1_3_3_102,ADM2,2,102,BDI,102
103,398.989006716,400.120437622,398.855662101,405.209279855,405.478946262,404.58982722,406.669069331,407.115412394,406.370149612,403.67843127,404.110011161,402.530970966,ADM2,BDI_ADM2_1_3_3_103,ADM2,2,103,BDI,103
104,399.285622371,399.564463552,398.788118998,404.067704154,404.720184326,403.744830322,406.168607884,406.3653361,406.023044162,402.042713049,402.178667704,401.828399658,ADM2,BDI_ADM2_1_3_3_104,ADM2,2,104,BDI,104
105,399.555221896,400.340808106,398.966918945,404.362339435,404.720184326,403.902879264,406.147138375,406.331166317,406.023044162,402.170446851,402.753234863,401.128468832,ADM2,BDI_ADM2_1_3_3_105,ADM2,2,105,BDI,105
106,399.150196333,400.120437622,398.927091326,404.756977039,405.040879992,404.58982722,407.004151541,407.84623464,406.370149612,403.233027634,404.037985355,402.530970966,ADM2,BDI_ADM2_1_3_3_106,ADM2,2,106,BDI,106
107,399.109506082,399.200053362,398.946649446,405.168762396,405.594392565,404.718260024,407.09910187,407.84623464,406.379776637,404.029695002,404.110011161,403.951036566,ADM2,BDI_ADM2_1_3_3_107,ADM2,2,107,BDI,107
108,399.126632471,399.240688293,398.966207566,405.321980711,405.898444543,404.912016649,406.75954307,407.797723135,406.337749774,404.009136164,404.107211608,403.934485472,ADM2,BDI_ADM2_1_3_3_108,ADM2,2,108,BDI,108
109,399.448385424,399.958725388,398.966918945,403.848967938,404.425040929,403.267816393,406.317875489,406.446397881,406.197165639,402.0062131,402.290004186,401.128468832,ADM2,BDI_ADM2_1_3_3_109,ADM2,2,109,BDI,109
110,399.176083977,399.296341934,399.037636791,405.360910067,405.629430292,404.912016649,406.958672883,407.826792399,406.384590149,404.023441196,404.08413619,403.934485472,ADM2,BDI_ADM2_1_3_3_110,ADM2,2,110,BDI,110
111,398.91048575,399.171160698,398.788118998,404.274960886,404.602813721,403.744830322,407.004992572,407.841421127,406.352005005,402.55119538,403.248465258,401.828399658,ADM2,BDI_ADM2_1_3_3_111,ADM2,2,111,BDI,111
112,400.033983125,400.417367554,399.462822166,403.788293184,404.572612628,403.200447082,406.256863021,406.794891357,406.04507904,402.136062851,402.753234863,402.022705078,ADM2,BDI_ADM2_1_3_3_112,ADM2,2,112,BDI,112
113,399.101686044,399.794264126,398.788118998,403.956716516,404.372955322,403.200447082,406.625883594,407.396246338,406.052663167,402.159388409,402.645926736,401.828399658,ADM2,BDI_ADM2_1_3_3_113,ADM2,2,113,BDI,113
114,399.101719848,399.240688293,398.99308628,404.845067182,405.270660009,404.373861225,407.208277051,407.797723135,406.399030685,403.933098808,404.006511278,403.88273553,ADM2,BDI_ADM2_1_3_3_114,ADM2,2,114,BDI,114
